Node_ID           X-Coord            Y-Coord           
NODO935          5653065.252        6159777.123       
NODO936          5653153.878        6159866.768       
NODO937          5650277.980        6154811.798       
NODO940          5650072.021        6154993.703       
NODO942          5650221.343        6155148.561       
NODO944          5650086.070        6155277.787       
NODO945          5650148.278        6155374.406       
NODO947          5650266.521        6155548.954       
NODO948          5649916.112        6150880.065       
NODO949          5649901.536        6150973.501       
NODO950          5649901.260        6151075.197       
NODO952          5649903.221        6151319.298       
NODO953          5649904.202        6151441.348       
NODO954          5649905.183        6151563.398       
NODO955          5649906.164        6151685.448       
NODO957          5649883.101        6151817.784       
NODO959          5649824.177        6151941.486       
NODO960          5649762.536        6152045.923       
NODO961          5649700.894        6152150.361       
NODO962          5649639.252        6152254.798       
NODO963          5649577.610        6152359.235       
NODO965          5649706.612        6152453.369       
NODO968          5649729.176        6152665.761       
NODO969          5649755.718        6152697.327       
NODO970          5649768.328        6152802.977       
NODO971          5649733.817        6152901.792       
NODO973          5649787.978        6153058.635       
NODO975          5649957.587        6153154.588       
NODO976          5650052.547        6153151.557       
NODO977          5650106.329        6153132.439       
NODO978          5650175.404        6153179.721       
NODO979          5650221.441        6153293.428       
NODO982          5650389.261        6153467.208       
NODO985          5650422.519        6153700.196       
NODO986          5650474.590        6153786.812       
NODO988          5650506.589        6153910.107       
NODO989          5650487.902        6153941.878       
NODO991          5650406.134        6154136.879       
NODO993          5650375.822        6154280.731       
NODO995          5650336.685        6154493.158       
NODO996          5650317.117        6154599.371       
NODO998          5649158.173        6149000.263       
NODO999          5649096.841        6149098.033       
NODO1000         5649035.510        6149195.803       
NODO1003         5649276.803        6149348.607       
NODO1005         5649196.054        6149483.975       
NODO1007         5649381.179        6149601.584       
NODO1009         5649566.304        6149719.194       
NODO1010         5649496.093        6149830.392       
NODO1012         5649667.538        6149934.906       
NODO1013         5649753.261        6149987.163       
NODO1014         5649751.826        6150066.371       
NODO1015         5649748.920        6150132.995       
NODO1016         5648466.518        6147876.029       
NODO1018         5648584.812        6147939.310       
NODO1019         5648521.911        6148050.309       
NODO1020         5648628.057        6148118.290       
NODO1021         5648571.859        6148237.479       
NODO1023         5648705.078        6148328.074       
NODO1024         5648634.853        6148428.908       
NODO1026         5648857.308        6148571.417       
NODO1028         5648755.346        6148714.984       
NODO1030         5648956.759        6148857.624       
NODO1031         5649057.466        6148928.944       
NODO1032         5654262.052        6155155.791       
NODO1033         5654199.033        6155264.305       
NODO1036         5654067.798        6155409.512       
NODO1043         5653956.191        6156130.772       
NODO1045         5653900.661        6156243.627       
NODO1048         5653863.604        6156543.757       
NODO1049         5653689.626        6150799.739       
NODO1062         5653036.803        6151619.127       
NODO1063         5655393.268        6153774.578       
NODO1065         5655167.250        6154140.007       
NODO1068         5654950.328        6154478.467       
NODO1069         5654907.366        6154548.635       
NODO1070         5655597.429        6148005.092       
NODO1074         5655459.109        6148235.448       
NODO1076         5655404.600        6148307.810       
NODO1077         5650495.729        6147123.393       
NODO1078         5650472.470        6147200.491       
NODO1079         5650508.253        6147257.045       
NODO1082         5650696.582        6147374.145       
NODO1088         5650940.797        6147752.484       
NODO1090         5651043.147        6147866.546       
NODO1094         5651170.528        6148094.854       
NODO1095         5651198.169        6148124.117       
NODO1099         5651368.926        6148390.110       
NODO1100         5651385.447        6148445.817       
NODO1104         5651505.089        6148678.679       
NODO1107         5651678.383        6148909.017       
NODO1108         5651699.474        6148998.852       
NODO1109         5654345.807        6157275.788       
NODO1110         5654346.262        6157396.627       
NODO1112         5654274.428        6157545.595       
NODO1113         5654248.022        6157669.101       
NODO1115         5654335.177        6157797.519       
NODO1116         5654422.721        6157883.653       
NODO1119         5654100.748        6157853.274       
NODO1120         5654036.978        6157939.278       
NODO1121         5653945.345        6158024.852       
NODO1122         5653853.712        6158114.231       
NODO1123         5653770.730        6158203.394       
NODO1124         5653687.748        6158292.557       
NODO1125         5653611.388        6158373.774       
NODO1126         5653535.027        6158454.992       
NODO1128         5653382.305        6158617.427       
NODO1129         5653338.166        6158658.036       
NODO1131         5653159.844        6158753.378       
NODO1133         5653069.212        6158950.537       
NODO1134         5653040.374        6159068.244       
NODO1135         5653013.313        6159188.640       
NODO1137         5653174.675        6159356.155       
NODO1138         5653256.244        6159441.257       
NODO1140         5653419.383        6159611.461       
NODO1142         5653253.419        6159769.187       
NODO1144         5653175.657        6159866.747       
NODO1145         5654525.399        6157967.613       
NODO1146         5654579.884        6158023.445       
NODO1148         5654719.115        6158168.735       
NODO1149         5654701.588        6158267.238       
NODO1151         5654570.495        6158415.548       
NODO1153         5654425.498        6158591.667       
NODO1155         5654280.501        6158767.785       
NODO1157         5654113.655        6158935.297       
NODO1159         5653946.809        6159102.808       
NODO1161         5653761.424        6159289.962       
NODO1163         5653584.978        6159463.653       
NODO1164         5653501.224        6159543.767       
NODO1166         5653333.716        6159703.995       
NODO1167         5653254.687        6159785.371       
NODO1170         5654552.619        6158481.758       
NODO1172         5654421.526        6158638.014       
NODO1173         5654355.979        6158716.142       
NODO1175         5654191.781        6158897.557       
NODO1177         5654032.880        6159057.344       
NODO1179         5653862.062        6159227.724       
NODO1181         5653679.325        6159408.698       
NODO1183         5653522.411        6159564.954       
NODO1184         5653443.953        6159643.082       
NODO1185         5653365.496        6159721.210       
NODO1186         5653274.128        6159809.931       
NODO1188         5653301.500        6160071.220       
NODO1190         5653328.872        6160332.509       
NODO1191         5653342.557        6160463.154       
NODO1192         5648607.627        6154883.485       
NODO1193         5648533.822        6154960.829       
NODO1195         5648388.025        6155113.246       
NODO1196         5648314.859        6155189.295       
NODO1198         5648183.979        6155323.555       
NODO1199         5648118.538        6155391.015       
NODO1200         5648341.215        6155640.040       
NODO1202         5648182.447        6155779.104       
NODO1203         5648261.285        6155867.056       
NODO1205         5648418.963        6156042.960       
NODO1206         5648497.801        6156130.912       
NODO1207         5648576.640        6156218.864       
NODO1209         5648735.675        6156395.966       
NODO1210         5648777.325        6156442.407       
NODO1211         5648846.857        6156381.979       
NODO1212         5648933.239        6156478.693       
NODO1213         5649019.621        6156575.406       
NODO1214         5649106.003        6156672.119       
NODO1215         5649192.385        6156768.833       
NODO1217         5649365.149        6156962.259       
NODO1218         5649451.531        6157058.973       
NODO1220         5649624.294        6157252.399       
NODO1221         5649710.676        6157349.113       
NODO1223         5649883.440        6157542.539       
NODO1225         5650056.204        6157735.966       
NODO1226         5650142.585        6157832.679       
NODO1228         5649993.618        6157978.016       
NODO1229         5649919.134        6158050.684       
NODO1230         5649844.650        6158123.352       
NODO1232         5650014.380        6158316.787       
NODO1234         5650184.109        6158510.221       
NODO1237         5649976.433        6158724.566       
NODO1239         5649958.089        6158935.916       
NODO1241         5649933.072        6159153.209       
NODO1242         5650009.808        6159226.075       
NODO1243         5651015.750        6160287.383       
NODO1245         5651112.688        6160390.085       
NODO1247         5651192.103        6160507.271       
NODO1250         5651303.146        6160748.891       
NODO1252         5651376.504        6160909.015       
NODO1253         5651406.676        6160994.558       
NODO1255         5651530.596        6161121.529       
NODO1256         5651619.095        6161197.933       
NODO1257         5651707.594        6161274.336       
NODO1258         5651787.676        6161344.636       
NODO1259         5651867.758        6161414.936       
NODO1261         5652026.509        6161523.882       
NODO1262         5652105.861        6161609.554       
